"Path","Bytes","Sha256","Role"
"packwiz/config/#STOP_MOD_REPOSTS.txt.pw.toml","352","a2459be05e9154c5d961a541c8411d7a293e1b073e7402e56848b53c34969084","Packwiz pack/index/file metadata"
"packwiz/config/advancementplaques-common.toml.pw.toml","377","fe1784a1b0ec82718ebd392fab7e17e965f4f68852e3f1d228139d677e9ae06b","Packwiz pack/index/file metadata"
"packwiz/config/aether/aether_customizations.txt.pw.toml","380","0bed98448d950655ee9a3ab5b24e1dd262173f18d28ac276b84cb7e456239d0e","Packwiz pack/index/file metadata"
"packwiz/config/aether/sun_altar_whitelist.json.pw.toml","373","f35ddb2efba51adb6e7e60719818259b32dd021a42ac986070fe9ac1a47afa3a","Packwiz pack/index/file metadata"
"packwiz/config/aether-client.toml.pw.toml","345","39708b2a13e2813c92b2134a85613c951cebfba1fa813280e8de8f6d571b5c66","Packwiz pack/index/file metadata"
"packwiz/config/aether-common.toml.pw.toml","341","273ff16ad1e53d4b7b9b0503720428bac28156e3993772f5d8ec12d613a05069","Packwiz pack/index/file metadata"
"packwiz/config/aethersdelight-common.toml.pw.toml","365","b331a318d92181a9950fc25f66cf484a19279bcff3e2b414783d80cf5a48dbf4","Packwiz pack/index/file metadata"
"packwiz/config/aiimprovements-common.toml.pw.toml","365","624e2ebbf328925b697892b231e0efb87d9a983353ded40ad60ae1ce2852628b","Packwiz pack/index/file metadata"
"packwiz/config/alexscaves_biome_generation/abyssal_chasm.json.pw.toml","397","e04597aca61a5b045357efc9ed6ce7059d655fc226b7c3718a2da59bcf83135a","Packwiz pack/index/file metadata"
"packwiz/config/alexscaves_biome_generation/candy_cavity.json.pw.toml","394","ff22c6f70dfa079833490dca4e341f71015ab1174e2e3222d1e90a0eed9ac38c","Packwiz pack/index/file metadata"
"packwiz/config/alexscaves_biome_generation/forlorn_hollows.json.pw.toml","403","c0063555fada81b3915c891a8da6894fe9a580bddaa842365298314ae93efd56","Packwiz pack/index/file metadata"
"packwiz/config/alexscaves_biome_generation/magnetic_caves.json.pw.toml","400","cd86f6758f8fa06dbe2cd27d6fb0b06e95a6c34b291333c78ae0eafc4d57d79a","Packwiz pack/index/file metadata"
