"Filename","Name","Side","Sha512","Source","Confidence"
"BetterAdvancements-Forge-1.20.1-0.4.2.60.jar","Better Advancements","client","152952375740285e145d5b8e40f3daf7a3b7f58048a4bbe2728d53046b729b151becc30a0f7f506130bc4a8d4d3fc2bad03a1aa7cf2b0200dbeb27d353ceac50","https://cdn.modrinth.com/data/Q2OqKxDG/versions/EKwDaD23/BetterAdvancements-Forge-1.20.1-0.4.2.60.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"betterarcheology-1.2.1-1.20.1.jar","Better Archeology","both","1b1483ae31f42f687915c964cbd07b1f165e4ffa55aec23370f7f0efcb61f78f16a3ef8d6edbc2f4812524f22cc969a8f0d7cd2e2a6b5edf6959342526deaeb1","https://cdn.modrinth.com/data/zCh7omyG/versions/vsqxpUo3/betterarcheology-1.2.1-1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"BetterF3-7.0.2-Forge-1.20.1.jar","BetterF3","client","e88ce04d601a5953de909edaabb49dad9eea2c3a9ccccb1247fd041554b30794d4d4c315be065c90b1017cbd798199e644fe8d905125f4c431ddb8eaf170dd15","https://cdn.modrinth.com/data/8shC1gFX/versions/xo6HmgWj/BetterF3-7.0.2-Forge-1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"betterfishtanks-1.3.0-1.20.1-Forge.jar","Better Fishtanks","both","332c29470f2944191e1f261f725ea244f28d5905cc4a56a5fae964ac54e6e18d936467ff74f20faa41a08148e080db2c9d3414ffd26818089c5478c0fc83d33b","https://cdn.modrinth.com/data/Aokk3vZE/versions/NIoJ7cmV/betterfishtanks-1.3.0-1.20.1-Forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"BetterThirdPerson-Forge-1.20-1.9.0.jar","Better Third Person","client","ae854893f17c3e42825e88119f4bd6be8948612494780194cb1c1cd5d65d571c91e7222c286cb734b3af363f927a6be8ad05347cd2c3fec6e1874b4aaac14c7b","https://cdn.modrinth.com/data/G1s2WpNo/versions/XkYduFuv/BetterThirdPerson-Forge-1.20-1.9.0.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"BiomesOPlenty-forge-1.20.1-19.0.0.96.jar","BiomesOPlenty-forge-1.20.1-19.0.0.96","both","d23b4526f80ed88b9253b4cb28f9f2675744dcabfee9e19f3e33f5870b84b7fa1e3104ff1201d0b4408d6a8354195cbedee1ed42100c9778e1ffd32ddab5e55e","https://cdn.modrinth.com/data/HXF82T3G/versions/jxUqRzSD/BiomesOPlenty-forge-1.20.1-19.0.0.96.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"blueprint-1.20.1-7.1.4.jar","Blueprint","both","54e72a95caea98ddc01270fd765a05b82809dce760c5d9b8bdcf2c5c0ed9f4ef64e701fd70fc9146be2f030c085b29b21843ecd592beea4f331bdcf05545178b","https://cdn.modrinth.com/data/VsM5EDoI/versions/AiaPEN6q/blueprint-1.20.1-7.1.4.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Bookshelf-Forge-1.20.1-20.2.15.jar","Bookshelf","both","b5e3d6031ea91aca65b059c84d813d248347a870fac4811cd1e9d649f2a37c857bbd32f2f071b69589c7b3940bf5bb4bdc0b82f62818bb03255be14d23cef170","https://cdn.modrinth.com/data/uy4Cnpcm/versions/7eS5OIHj/Bookshelf-Forge-1.20.1-20.2.15.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Bountiful-6.0.4+1.20.1-forge.jar","Bountiful-6.0.4+1.20.1-forge","both","63e460c967d4c38bad82e20eb35955f1bb22b505239fafb02aed60a43840f7417306cc99ea8da25bf7ea36d0a1c65347b3b20d0f597311dc7c4473908bd63705","https://cdn.modrinth.com/data/BpwWFOVM/versions/EM7Su3PD/Bountiful-6.0.4%2B1.20.1-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"BrewinAndChewin-1.20.1-3.2.1.jar","Brewin","both","f784c2530f34e56e70a58ee7345e95abc79b312c39fbbef6339ab19dfd20e2842cd7414c5ef2395db2bfa0a9bb1036affc6a3be685b2b731ee3195b2d0d4eb5d","https://cdn.modrinth.com/data/hIu9KJTT/versions/9myDFPCD/BrewinAndChewin-1.20.1-3.2.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"carryon-forge-1.20.1-2.1.2.7.jar","Carry On","both","4f75afb703dd71c322d4e2e27d28d7ab4afeb0c242bcee6d1eb5fef59ee4347352f1ca55f1826743957d2e95a951ed13884356485b0a979b14010915079e2c29","https://cdn.modrinth.com/data/joEfVgkn/versions/edGQD16r/carryon-forge-1.20.1-2.1.2.7.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"caverns_and_chasms-1.20.1-2.1.3.jar","caverns_and_chasms-1.20.1-2.1.3","both","c306daca155411e39817bca8d33ff2514ebceeb52e4435c60aa9ed374209406ef10c4e9366626a64f227598459650e6bc2c1abbba1a80dac3e0e28423d7baacb","https://cdn.modrinth.com/data/tfjmPSbI/versions/TWaOFuHm/caverns_and_chasms-1.20.1-2.1.3.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"chalk-1.20.1-1.6.7.jar","Chalk","both","c983555fb6e26f1c70a8d24a5b80e369ec6884d413ff228ce4f0a03b46777f281e667df97badc3092cdbdfe7bae3c735a52c3dfd7d8312e065192e093d04343a","https://cdn.modrinth.com/data/YWGP4Y1d/versions/egCIyHFr/chalk-1.20.1-1.6.7.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"chat_heads-0.15.6-forge-1.20.jar","chat_heads-0.15.6-forge-1.20","client","f5a3344d01636df66b66e3328a98255dda4e47211e70e2e00d20a19bbce770d5f64bf3e68a322e3e7d372c4fbe4715505bd759d092331268ded01a3c95426dd5","https://cdn.modrinth.com/data/Wb5oqrBJ/versions/Y5UwovZK/chat_heads-0.15.6-forge-1.20.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Chimes-v2.1.1-1.20.1-Forge.jar","Chimes","both","f4ad56b55e58769a07497b5a8ead9d3a5d285ddaea4ecabc9b42e55ead3aca7efda6111a7f1198c0c7a4aadd885e9c65f73dfaa79939787c221a26c77eab09bb","https://cdn.modrinth.com/data/mjGOuygR/versions/3BBPocXc/Chimes-v2.1.1-1.20.1-Forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Chunky-1.3.146.jar","Chunky","server","13ef9d5bfea1895118eec45aa3071e2d79408241f29990624f67e157d4c525391753b0a1539ff3359dad79a6e5ab5e0b84fffbe528bdefcaaefd579ec794d9c9","https://cdn.modrinth.com/data/fALzjamp/versions/4FTDk9wv/Chunky-1.3.146.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"citadel-2.6.3-1.20.1.jar","Citadel","both","42e3fa0ddefb1ebdbba4242d81caede834cd0bbd96e4e90b12b2157a5b07c68b625f64046de1f9e1ad4d6056d3536e17207be5f4b24960582052d713b13f22c0","https://cdn.modrinth.com/data/jJfV67b1/versions/lTAAe4sZ/citadel-2.6.3-1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"cloth-config-11.1.136-forge.jar","cloth-config-11.1.136-forge","both","137c4af99c53d77317cbfb1cc8c49fc2761708b49d1992f51fd846960df41dde3a83519c987e081508d4ed90c603566f3d5a6cb620ad9d85b8f4de59aa9115ef","https://cdn.modrinth.com/data/9s6osm5g/versions/t8TXrZvZ/cloth-config-11.1.136-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Clumps-forge-1.20.1-12.0.0.4.jar","Clumps","both","ffd8ff2438e9f9d260d3926ccdd0cccc4772c6f99f29715690aed4f6e97a76035f3aeaa78168e2a458bc4cccf521e97ebdb6e0b61c819facb04af9ebb3638383","https://cdn.modrinth.com/data/Wnxd13zP/versions/nAHGB5ls/Clumps-forge-1.20.1-12.0.0.4.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Collectibles-1.20.x-(v.1.4.10).jar","Collectibles","both","2887d880c38332ab3abccc47c43afdd2d37ccb63681f4d8f7e383508835856c58957b1d368a13a98179fb7f48c6025c0e9e0132ddd6f342015c5ed54d819abd0","https://cdn.modrinth.com/data/YndbKiX8/versions/18h2at75/Collectibles-1.20.x-%28v.1.4.10%29.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"collective-1.20.1-8.39.jar","Collective","both","8772b683cb4d4d5ec15a995c717dec553d0ab07f43f310fc5e34de40216ad90abc4aaa22b035a0c387c35b9804655fdeda0edca8ced45ee9588f7b6a8e3a0e85","https://cdn.modrinth.com/data/e0M1UDsY/versions/ZrHXYjUf/collective-1.20.1-8.39.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"comforts-forge-6.4.0+1.20.1.jar","Comforts","both","5f8bc01de36814bbea454ad306efd6b7ae9de933117fe8c1197a13454804e4b71ddd0685a24ace45b81527a8489d4081f7e75b6c5d3f7d7c8f791520407fac09","https://cdn.modrinth.com/data/SaCpeal4/versions/gBDsc134/comforts-forge-6.4.0%2B1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"Controlling-forge-1.20.1-12.0.2.jar","Controlling","client","3945bf3f6d843957f13584dfc70bede253d1e48f0dcb96f647fbcc6fcd3d1748a0dd9c6ca5c882e07a41f98eb84057934f51e43ab6023ed0a19695de2e6fe9f5","https://cdn.modrinth.com/data/xv94TkTM/versions/LH6Bi6Am/Controlling-forge-1.20.1-12.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"cookingforblockheads-forge-1.20.1-16.0.15.jar","Cooking for Blockheads","both","a517409abd039de4868a6d7149d25da40aafd4d76a51971fc33482f1f158e6bb743d86249da41df6a26ada8a41f309924c72f3774f1fbf62e96b455e26b67b92","https://cdn.modrinth.com/data/vJnhuDde/versions/W87tG8sG/cookingforblockheads-forge-1.20.1-16.0.15.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"copycats-3.0.7+mc.1.20.1-forge.jar","Create: Copycats+","both","163499b08adb6198630019b74c32465c569145ad36e956c5b4d1e6537c0eb52fd9217ebd90b7f05f5efaf084d71533481e46738295609f31e50bec6b7941c91b","https://cdn.modrinth.com/data/UT2M39wf/versions/z7s54cjL/copycats-3.0.7%2Bmc.1.20.1-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"corpse-forge-1.20.1-1.0.23.jar","Corpse","both","c9ddf7d243aac2cbf88fc2fd7e71ce4470354765d602dadf0fa68105a0561cb14b482c60d9e04084845bcf2237442d913888dcfb45b392bc700b0f3470517c96","https://cdn.modrinth.com/data/WrpuIfhw/versions/7fc0hJN6/corpse-forge-1.20.1-1.0.23.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"cozy-1.1.1-forge.jar","cozy-1.1.1-forge","both","712975301eff1e070374572d35cf94474aa8d85b0f76ddeb132e020bfbb5539654ae60c0f52eeb5b75ced567dc7bcdefc1d3d1c28734bdf1178ef37a382cc2cf","https://cdn.modrinth.com/data/Bg6Ed4OL/versions/D6K9NNUr/cozy-1.1.1-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"craftingtweaks-forge-1.20.1-18.2.9.jar","Crafting Tweaks","both","8bb7eb24d119cee809bad8f4166d18bc580ff0b20f18af4760546ec0410a70e857d063830776025acf907ff19856b5471e93db8b6d5a645c8215b73161d77207","https://cdn.modrinth.com/data/DMu0oBKf/versions/KOqT9kSZ/craftingtweaks-forge-1.20.1-18.2.9.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_6_0_8_backported_fixes-1.1.0.jar","Create 6.0.8 Backported Fixes","both","cd98999593ac3970010bac8eeb44f1552306cfe1c2da5247ad510314fb03f8124ebeb00edbb7d3fca644d241a119a8cefc157984ffb1ae9796d8777fc3b2c57a","https://cdn.modrinth.com/data/Wnfo63gL/versions/9OnlwTg9/create_6_0_8_backported_fixes-1.1.0.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_aquatic_ambitions-1.20.1-6.0.8-2.0.2.jar","Create: Aquatic Ambitions","both","76924000b2126b637ccd9f0a5ff8dd6b9cb7fee932c81fe40dde12ca031849f2f103eef029eb4fce01f5ff32458461c7884656094aa8e04d61b653750c724ea2","https://cdn.modrinth.com/data/9SyaPzp7/versions/jIvpBfZr/create_aquatic_ambitions-1.20.1-6.0.8-2.0.2.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_ca-2.2 - 1.20.1.jar","Create: Components and Additions","both","ec145dc4c5812354103505f7196797a9922aad1a54e38948e171125154c517b0148fb3783d45a454f79db450adb3b85e679677c3ceebf6d6e601d5ce5a62ba62","https://cdn.modrinth.com/data/exLPXAoq/versions/U8okwTMH/create_ca-2.2%20-%201.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_central_kitchen-1.20.1-for-create-6.0.8-1.5.0.jar","Create: Central Kitchen","both","b3ee7c77f6633049c3090e2123bf85c46e9fb81796227e56a50c8fe4bcf68582605624813e8b10e771e9eb19693a1be66f008fe151163fbe34e81df1edac19d0","https://cdn.modrinth.com/data/btq68HMO/versions/Z4kwyYKV/create_central_kitchen-1.20.1-for-create-6.0.8-1.5.0.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_compatible_storage-2.13.0-mc1.20.1-forge-all.jar","Create: Compatible Storage","both","13c6b4c77a73eba4ee181bf5a266a244628c96169ea3d9e62ed43e1cbd2584a21fd3ff294f2b4d8ed110bc9e8593a7f87c64830046823f6db28dc89f897aa549","https://cdn.modrinth.com/data/5ofroZ5W/versions/XvfwEd3J/create_compatible_storage-2.13.0-mc1.20.1-forge-all.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_connected-1.2.3-mc1.20.1-all.jar","Create: Connected","both","eed01b0d7c96b023bf838208819f52d57606089ce6c1f0e824b212bb53b4e00e35d7d3c7066f125e541799b64c0766b526045ced59bb0dbdce9a7075ab3bdfce","https://cdn.modrinth.com/data/Vg5TIO6d/versions/6gnvaVkN/create_connected-1.2.3-mc1.20.1-all.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create_enchantment_industry-1.4.1-for-create-6.0.8.jar","Create: Enchantment Industry","both","df13070cad7b477d9eab24fdee9af4fddf8b7183a103e5b00efc7def0107ad075159abf1ca551e4270724197070f78f11bd6da3bb630a84341f9c85dcc0207b3","https://cdn.modrinth.com/data/JWGBpFUP/versions/caLmFTZ1/create_enchantment_industry-1.4.1-for-create-6.0.8.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"create-1.20.1-6.0.8.jar","Create","both","5b51f5d31437d9bfbf221b67459abd87260d284874e1e23b7ed1d522b23a48059a3b1d2c1c541428da35dc6be15561b4f3c7f36aac6df3a0e8db6a278f6b0316","https://cdn.modrinth.com/data/LNytGWDc/versions/8amzvn9x/create-1.20.1-6.0.8.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"createdeco-2.0.3-1.20.1-forge.jar","Create Deco","both","50b7e9bb7b09d720160b2491528f2ab751ad2299541be75cc6941e6b6c3d2d40faff5c5fa07a1bea9e3f43b73146ef6e0fdf6a106e65246b9767dd81053766bf","https://cdn.modrinth.com/data/sMvUb4Rb/versions/e9gaSRMd/createdeco-2.0.3-1.20.1-forge.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"createultimine-1.20.1-forge-1.3.1.jar","Create Ultimine","both","a15117e6ff74661325aaa611e7385434b67376fef0663edd249f1efb56b1342dfbac97cd369b4bcb6be98e92596dfd8f8194d53f704bbc13615e2b09a99bce72","https://cdn.modrinth.com/data/vUE54e5E/versions/v1WWGazc/createultimine-1.20.1-forge-1.3.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
"CreativeCore_FORGE_v2.12.39_mc1.20.1.jar","CreativeCore","both","6eb47ce94e00d2321deed8c646b81f0463b8a42e628fdfb07f3792c4bcb15fa7638ad3e52e332a0819c14a1346d71b6496dda64094f6b626a2dbfba0fba2d021","https://cdn.modrinth.com/data/OsZiaDHq/versions/m9VEcxwz/CreativeCore_FORGE_v2.12.39_mc1.20.1.jar","manifest: Packwiz side and declared exact hash; see validation audits for runtime proof"
